start_time,end_time,start_x,start_y,end_x,end_y,money
777,885,39,34,39,30,13.0
779,915,50,89,48,98,13.0
780,2010,60,94,98,48,53.94
780,3982,99,23,99,43,110.98
783,1514,8,47,27,72,29.56
785,1623,87,92,78,46,40.6
785,944,45,30,50,33,13.0
785,1326,81,52,90,56,13.0
787,2365,7,58,88,26,77.4
789,1631,56,65,37,39,26.8
790,1930,79,55,53,99,46.12
791,1519,68,84,76,60,18.52
792,1199,70,34,79,29,13.0
793,846,46,16,47,20,13.0
793,1580,42,30,14,21,24.04
793,1296,71,23,68,23,13.0
794,960,89,36,86,36,13.0
794,1063,30,37,40,42,13.0
795,2859,92,98,53,92,69.58
796,1096,83,40,78,50,13.0
796,972,32,73,25,75,13.0
796,977,32,81,35,79,13.0
797,1035,83,59,81,63,13.0
797,1409,21,73,41,54,24.04
799,1348,22,37,51,14,29.56
799,1326,30,87,42,71,15.76
800,1303,44,43,36,56,13.0
802,1745,83,54,83,27,29.56
802,1494,36,46,25,29,18.52
803,950,34,76,31,73,13.0
804,1117,34,24,26,30,13.0
804,1285,31,82,9,74,15.76
805,1112,41,12,48,11,13.0
